participant_id,task,input_type,input_value,timestamp,task_completion_time_in_ms
2,A,button_clicked,0,2021-05-23 20:08:54.663969,
2,A,button_clicked,1,2021-05-23 20:08:55.480256,
2,A,button_clicked,5,2021-05-23 20:08:56.751749,
2,A,button_clicked,+,2021-05-23 20:08:57.728065,
2,A,button_clicked,1,2021-05-23 20:08:58.512577,
2,A,button_clicked,6,2021-05-23 20:08:59.210355,
2,A,button_clicked,+,2021-05-23 20:09:00.640289,
2,A,button_clicked,1,2021-05-23 20:09:01.464285,
2,A,button_clicked,7,2021-05-23 20:09:02.120096,
2,A,button_clicked,+,2021-05-23 20:09:03.056091,
2,A,button_clicked,1,2021-05-23 20:09:03.780356,
2,A,button_clicked,1,2021-05-23 20:09:03.834318,
2,A,button_clicked,5,2021-05-23 20:09:04.376128,
2,A,button_clicked,delete,2021-05-23 20:09:06.145070,
2,A,button_clicked,delete,2021-05-23 20:09:06.528394,
2,A,button_clicked,8,2021-05-23 20:09:07.496665,
2,A,button_clicked,+,2021-05-23 20:09:08.898628,
2,A,button_clicked,1,2021-05-23 20:09:09.608045,
2,A,button_clicked,9,2021-05-23 20:09:10.168204,
2,A,button_clicked,+,2021-05-23 20:09:10.880087,
2,A,button_clicked,2,2021-05-23 20:09:11.912520,
2,A,button_clicked,0,2021-05-23 20:09:12.447889,
2,A,button_clicked,=,2021-05-23 20:09:13.902236,42432.0
2,C,button_clicked,(,2021-05-23 20:07:46.520442,
2,C,button_clicked,3,2021-05-23 20:07:47.072156,
2,C,button_clicked,**,2021-05-23 20:07:47.776800,
2,C,button_clicked,2,2021-05-23 20:07:49.064320,
2,C,button_clicked,+,2021-05-23 20:07:53.944740,
2,C,button_clicked,4,2021-05-23 20:07:54.920201,
2,C,button_clicked,**,2021-05-23 20:07:55.440038,
2,C,button_clicked,2,2021-05-23 20:07:56.176301,
2,C,button_clicked,),2021-05-23 20:07:56.952090,
2,C,button_clicked,*,2021-05-23 20:07:58.253276,
2,C,button_clicked,1,2021-05-23 20:07:59.403484,
2,C,button_clicked,5,2021-05-23 20:07:59.951725,
2,C,button_clicked,.,2021-05-23 20:08:00.517465,
2,C,button_clicked,2,2021-05-23 20:08:00.903703,
2,C,button_clicked,=,2021-05-23 20:08:02.088031,15568.0
2,B,key_pressed,1,2021-05-23 20:06:24.532357,
2,B,key_pressed,+,2021-05-23 20:06:24.700019,
2,B,key_pressed,2,2021-05-23 20:06:24.891838,
2,B,key_pressed,+,2021-05-23 20:06:25.027971,
2,B,key_pressed,3,2021-05-23 20:06:25.211977,
2,B,key_pressed,+,2021-05-23 20:06:25.379792,
2,B,key_pressed,4,2021-05-23 20:06:25.675997,
2,B,key_pressed,+,2021-05-23 20:06:25.867939,
2,B,key_pressed,5,2021-05-23 20:06:26.075404,
2,B,key_pressed,+,2021-05-23 20:06:26.243560,
2,B,key_pressed,6,2021-05-23 20:06:26.435572,
2,B,key_pressed,+,2021-05-23 20:06:26.611388,
2,B,key_pressed,7,2021-05-23 20:06:26.827670,
2,B,key_pressed,+,2021-05-23 20:06:27.003887,
2,B,key_pressed,8,2021-05-23 20:06:27.219784,
2,B,key_pressed,+,2021-05-23 20:06:27.419826,
2,B,key_pressed,9,2021-05-23 20:06:27.651539,
2,B,key_pressed,+,2021-05-23 20:06:28.347558,
2,B,key_pressed,1,2021-05-23 20:06:28.483870,
2,B,key_pressed,0,2021-05-23 20:06:28.691519,
2,B,key_pressed,+,2021-05-23 20:06:28.867496,
2,B,key_pressed,1,2021-05-23 20:06:29.163268,
2,B,key_pressed,1,2021-05-23 20:06:29.291437,
2,B,key_pressed,+,2021-05-23 20:06:29.443907,
2,B,key_pressed,1,2021-05-23 20:06:29.659686,
2,B,key_pressed,2,2021-05-23 20:06:29.835575,
2,B,key_pressed,+,2021-05-23 20:06:29.987739,
2,B,key_pressed,1,2021-05-23 20:06:30.203718,
2,B,key_pressed,3,2021-05-23 20:06:30.427749,
2,B,key_pressed,+,2021-05-23 20:06:30.601642,
2,B,key_pressed,1,2021-05-23 20:06:30.843517,
2,B,key_pressed,4,2021-05-23 20:06:31.091739,
2,B,key_pressed,+,2021-05-23 20:06:31.331616,
2,B,key_pressed,1,2021-05-23 20:06:31.555619,
2,B,key_pressed,5,2021-05-23 20:06:31.763474,
2,B,key_pressed,+,2021-05-23 20:06:31.939701,
2,B,key_pressed,1,2021-05-23 20:06:32.163810,
2,B,key_pressed,6,2021-05-23 20:06:32.403600,
2,B,key_pressed,+,2021-05-23 20:06:32.731587,
2,B,key_pressed,1,2021-05-23 20:06:32.979705,
2,B,key_pressed,7,2021-05-23 20:06:33.243399,
2,B,key_pressed,+,2021-05-23 20:06:33.475559,
2,B,key_pressed,1,2021-05-23 20:06:33.683731,
2,B,key_pressed,8,2021-05-23 20:06:33.931354,
2,B,key_pressed,+,2021-05-23 20:06:34.139768,
2,B,key_pressed,1,2021-05-23 20:06:34.307542,
2,B,key_pressed,9,2021-05-23 20:06:34.499815,
2,B,key_pressed,+,2021-05-23 20:06:36.011298,
2,B,key_pressed,2,2021-05-23 20:06:36.155343,
2,B,key_pressed,0,2021-05-23 20:06:36.339450,
2,B,key_pressed,=,2021-05-23 20:06:36.580513,12049.0
2,D,key_pressed,(,2021-05-23 20:09:51.780094,
2,D,key_pressed,3,2021-05-23 20:09:52.943846,
2,D,key_pressed,**,2021-05-23 20:09:53.063334,
2,D,key_pressed,2,2021-05-23 20:09:53.280012,
2,D,key_pressed,+,2021-05-23 20:09:54.767313,
2,D,key_pressed,4,2021-05-23 20:09:55.183919,
2,D,key_pressed,**,2021-05-23 20:09:55.463871,
2,D,key_pressed,2,2021-05-23 20:09:55.663904,
2,D,key_pressed,),2021-05-23 20:09:57.119459,
2,D,key_pressed,*,2021-05-23 20:09:57.535837,
2,D,key_pressed,1,2021-05-23 20:10:00.183458,
2,D,key_pressed,5,2021-05-23 20:10:00.303368,
2,D,key_pressed,.,2021-05-23 20:10:00.591682,
